"","vial","variable","event"
"386","TO-G-2",8.9,1
"387","CU-G-1",8.9,1
"388","CU-G-2",8.9,1
"389","ZU-G-1",8.9,1
"390","ZU-G-1",8.9,1
"391","ZU-G-3",8.9,1
"392","BA-G-1",9.1,1
"393","OR-G-1",9.1,1
"394","OR-G-1",9.1,1
"395","OR-G-1",9.1,1
"396","OR-G-1",9.1,1
"397","OR-G-1",9.1,1
"398","OR-G-1",9.1,1
"399","OR-G-2",9.1,1
"400","OR-G-3",9.1,1
"401","OR-G-3",9.1,1
"402","OR-G-3",9.1,1
"403","OR-G-3",9.1,1
"404","OR-G-3",9.1,1
"405","OR-G-3",9.1,1
"406","OR-G-3",9.1,1
"407","OR-G-3",9.1,1
"408","OR-G-3",9.1,1
"409","OR-G-3",9.1,1
"410","OR-G-3",9.1,1
"411","OR-G-3",9.1,1
"412","TO-G-2",9.1,1
"413","TO-G-2",9.1,1
"414","TO-G-2",9.1,1
"415","CU-G-3",9.1,1
"416","BA-G-1",9.3,1
"417","BA-G-1",9.3,1
"418","OR-G-1",9.3,1
"419","OR-G-1",9.3,1
"420","OR-G-1",9.3,1
"421","OR-G-1",9.3,1
"422","OR-G-1",9.3,1
"423","OR-G-1",9.3,1
"424","OR-G-1",9.3,1
"425","OR-G-1",9.3,1
"426","OR-G-1",9.3,1
"427","OR-G-1",9.3,1
"428","OR-G-2",9.3,1
"429","OR-G-2",9.3,1
"430","OR-G-3",9.3,1
"431","OR-G-3",9.3,1
"432","OR-G-3",9.3,1
"433","OR-G-3",9.3,1
"434","OR-G-3",9.3,1
"435","OR-G-3",9.3,1
"436","OR-G-3",9.3,1
"437","OR-G-3",9.3,1
"438","OR-G-3",9.3,1
"439","OR-G-3",9.3,1
"440","OR-G-3",9.3,1
"441","OR-G-3",9.3,1
"442","OR-G-3",9.3,1
"443","OR-G-3",9.3,1
"444","OR-G-3",9.3,1
"445","OR-G-3",9.3,1
"446","OR-G-3",9.3,1
"447","TO-G-1",9.3,1
"448","TO-G-1",9.3,1
"449","TO-G-1",9.3,1
"450","TO-G-2",9.3,1
"451","TO-G-2",9.3,1
"452","TO-G-2",9.3,1
"453","CU-G-1",9.3,1
